WKT,이름,설명
"POINT (126.9187914 35.1478745)",점 1,
"POINT (126.9189282 35.1476881)",점 2,
"POINT (126.9188785 35.1479304)",점 3,
"POINT (126.9193636 35.1482942)",점 4,
"POINT (126.9198122 35.1486495)",점 5,
"POINT (126.9199678 35.1484811)",점 6,
"POINT (126.9198458 35.1486752)",점 7,
"POINT (126.9193834 35.1492408)",점 8,
"POINT (126.9187201 35.1498869)",점 9,
"POINT (126.9181751 35.1503886)",점 10,
"POINT (126.917644 35.150893)",점 11,
"POINT (126.9170681 35.1514664)",점 12,
"POINT (126.9166185 35.1511506)",점 13,
"POINT (126.9160692 35.1507175)",점 14,
"POINT (126.9154164 35.1502295)",점 15,
"POINT (126.9149668 35.149796)",점 16,
"POINT (126.9152603 35.1495973)",점 18,
"POINT (126.9154923 35.1496378)",점 19,
"POINT (126.9156921 35.1498001)",점 20,
"POINT (126.9156076 35.1498517)",점 21,
"POINT (126.9154031 35.1497629)",점 22,
