WKT,이름,설명
"POINT (126.9110436 35.1482256)",점 1,
"POINT (126.9125132 35.1488939)",점 2,
"POINT (126.9141417 35.1495957)",점 3,
"POINT (126.9125132 35.1488939)",점 4,
"POINT (126.9133585 35.1483369)",점 5,
"POINT (126.9138011 35.1488742)",점 6,
"POINT (126.9153848 35.1501739)",점 7,
"POINT (126.9140824 35.1510388)",점 8,
"POINT (126.912763 35.1519558)",점 9,
"POINT (126.9113578 35.152907)",점 10,
"POINT (126.910078 35.1537079)",점 11,
"POINT (126.9113029 35.1528641)",점 12,
"POINT (126.9127182 35.1519173)",점 13,
"POINT (126.9119572 35.15124)",점 14,
"POINT (126.91086 35.1502606)",점 15,
"POINT (126.9099632 35.1494962)",점 16,
"POINT (126.9094651 35.1490309)",점 17,
"POINT (126.9090306 35.1489124)",점 18,
"POINT (126.9079658 35.1488488)",점 19,
"POINT (126.9071711 35.1487227)",점 20,
"POINT (126.9063986 35.148567)",점 21,
"POINT (126.9058032 35.148385)",점 22,
"POINT (126.9054116 35.1482336)",점 23,
"POINT (126.9052217 35.1480241)",점 24,
"POINT (126.9054316 35.1479371)",점 25,
"POINT (126.9057185 35.1479417)",점 26,
"POINT (126.906043 35.1479888)",점 27,
"POINT (126.9065342 35.1479146)",점 28,
"POINT (126.9071459 35.1479559)",점 29,
"POINT (126.9065342 35.1479146)",점 30,
"POINT (126.9065094 35.1476093)",점 31,
"POINT (126.9066194 35.1471027)",점 32,
"POINT (126.9064031 35.1468231)",점 33,
"POINT (126.9057966 35.1463664)",점 34,
"POINT (126.9060287 35.146106)",점 35,
"POINT (126.9065525 35.1458794)",점 36,
"POINT (126.9072069 35.1459244)",점 37,
"POINT (126.9075572 35.1460892)",점 38,
"POINT (126.9079749 35.146449)",점 39,
"POINT (126.9079235 35.1471441)",점 40,
"POINT (126.9081354 35.1474643)",점 41,
"POINT (126.9082159 35.1477099)",점 42,
"POINT (126.9086584 35.1476375)",점 43,
"POINT (126.9097896 35.1478247)",점 44,
"POINT (126.9101752 35.1475993)",점 45,
"POINT (126.9103315 35.1470217)",점 46,
"POINT (126.910251 35.146776)",점 47,
"POINT (126.9098876 35.1465732)",점 48,
"POINT (126.9096355 35.1459371)",점 49,
"POINT (126.9098849 35.1456432)",점 50,
"POINT (126.9110694 35.1465495)",점 51,
"POINT (126.9118885 35.1472057)",점 52,
"POINT (126.9110436 35.1482256)",점 53,
